,现汇买入,Date
0,474.49,2024.10.14 18:12:48
2,474.49,2024.10.14 18:12:48
4,474.52,2024.10.14 18:35:20
6,474.52,2024.10.14 18:35:20
8,474.52,2024.10.14 18:35:20
10,474.27,2024.10.14 19:04:13
12,474.37,2024.10.14 19:28:29
14,474.12,2024.10.14 20:28:43
16,474.12,2024.10.14 20:28:43
18,474.12,2024.10.14 20:28:43
20,474.12,2024.10.14 20:28:43
22,474.12,2024.10.14 20:28:43
24,474.12,2024.10.14 20:28:43
26,474.12,2024.10.14 20:28:43
28,474.01,2024.10.14 20:39:56
30,474.01,2024.10.14 20:39:56
32,474.01,2024.10.14 20:39:56
34,474.01,2024.10.14 20:39:56
36,474.01,2024.10.14 20:39:56
38,474.01,2024.10.14 20:39:56
40,474.01,2024.10.14 20:39:56
42,474.01,2024.10.14 20:39:56
44,474.15,2024.10.14 20:47:53
46,473.97,2024.10.14 21:21:15
48,475.34,2024.10.14 21:52:38
50,475.36,2024.10.14 22:24:25
52,475.36,2024.10.14 22:24:25
54,474.87,2024.10.14 23:22:26
56,475.04,2024.10.14 23:42:55
58,474.93,2024.10.15 00:14:09
60,474.93,2024.10.15 00:14:09
62,474.93,2024.10.15 00:14:09
64,475.03,2024.10.15 01:35:04
66,475.17,2024.10.15 02:09:57
68,474.81,2024.10.15 02:57:17
70,474.81,2024.10.15 02:57:17
72,474.81,2024.10.15 02:57:17
74,474.81,2024.10.15 02:57:17
76,474.81,2024.10.15 02:57:17
78,474.81,2024.10.15 02:57:17
80,474.81,2024.10.15 05:30:00
82,474.81,2024.10.15 05:30:00
84,474.81,2024.10.15 05:30:00
86,475.45,2024.10.15 07:09:35
88,475.45,2024.10.15 07:09:35
90,475.52,2024.10.15 09:19:43
92,476.76,2024.10.15 10:58:59
94,476.58,2024.10.15 11:27:53
96,476.18,2024.10.15 11:58:31
98,476.16,2024.10.15 12:25:16
100,476.2,2024.10.15 12:52:59
102,475.57,2024.10.15 13:27:10
104,476.28,2024.10.15 13:57:48
106,476.06,2024.10.15 16:57:35
108,476.27,2024.10.15 17:18:30
110,476.14,2024.10.15 17:51:14
112,475.57,2024.10.15 18:21:53
114,475.75,2024.10.15 18:39:45
116,476.16,2024.10.15 19:24:52
118,475.82,2024.10.16 02:55:54
120,473.02,2024.10.17 02:56:12
122,475.46,2024.10.18 02:55:55
124,475.11,2024.10.19 02:56:53
126,475.11,2024.10.20 00:00:05
128,475.11,2024.10.21 00:00:05
130,472.49,2024.10.22 02:59:35
132,474.7,2024.10.23 02:53:58
134,471.22,2024.10.24 02:53:22
