,现汇买入,Date
1,4.7234,2024.10.14 18:12:48
3,4.7234,2024.10.14 18:12:48
5,4.7238,2024.10.14 18:35:20
7,4.7238,2024.10.14 18:35:20
9,4.7238,2024.10.14 18:35:20
11,4.7204,2024.10.14 19:04:13
13,4.7191,2024.10.14 19:28:29
15,4.7163,2024.10.14 20:28:43
17,4.7163,2024.10.14 20:28:43
19,4.7163,2024.10.14 20:28:43
21,4.7163,2024.10.14 20:28:43
23,4.7163,2024.10.14 20:28:43
25,4.7163,2024.10.14 20:28:43
27,4.7163,2024.10.14 20:28:43
29,4.7195,2024.10.14 20:39:56
31,4.7195,2024.10.14 20:39:56
33,4.7195,2024.10.14 20:39:56
35,4.7195,2024.10.14 20:39:56
37,4.7195,2024.10.14 20:39:56
39,4.7195,2024.10.14 20:39:56
41,4.7195,2024.10.14 20:39:56
43,4.7195,2024.10.14 20:39:56
45,4.7202,2024.10.14 20:47:53
47,4.7164,2024.10.14 21:21:15
49,4.7146,2024.10.14 21:52:38
51,4.7128,2024.10.14 22:24:25
53,4.7128,2024.10.14 22:24:25
55,4.7125,2024.10.14 23:22:26
57,4.7132,2024.10.14 23:42:55
59,4.7139,2024.10.15 00:14:09
61,4.7139,2024.10.15 00:14:09
63,4.7139,2024.10.15 00:14:09
65,4.7145,2024.10.15 01:35:04
67,4.7152,2024.10.15 02:09:57
69,4.7146,2024.10.15 02:57:17
71,4.7146,2024.10.15 02:57:17
73,4.7146,2024.10.15 02:57:17
75,4.7146,2024.10.15 02:57:17
77,4.7146,2024.10.15 02:57:17
79,4.7146,2024.10.15 02:57:17
81,4.7146,2024.10.15 05:30:00
83,4.7146,2024.10.15 05:30:00
85,4.7146,2024.10.15 05:30:00
87,4.7184,2024.10.15 07:09:35
89,4.7184,2024.10.15 07:09:35
91,4.7278,2024.10.15 09:19:43
93,4.7344,2024.10.15 10:58:59
95,4.7354,2024.10.15 11:27:53
97,4.7348,2024.10.15 11:58:31
99,4.7365,2024.10.15 12:25:16
101,4.7371,2024.10.15 12:52:59
103,4.7413,2024.10.15 13:27:10
105,4.7447,2024.10.15 13:57:48
107,4.7543,2024.10.15 16:57:35
109,4.7566,2024.10.15 17:18:30
111,4.7619,2024.10.15 17:51:14
113,4.7552,2024.10.15 18:21:53
115,4.7543,2024.10.15 18:39:45
117,4.7509,2024.10.15 19:24:52
119,4.7539,2024.10.16 02:55:54
121,4.7393,2024.10.17 02:56:12
123,4.7268,2024.10.18 02:55:55
125,4.7391,2024.10.19 02:56:53
127,4.7369,2024.10.20 00:00:05
129,4.7369,2024.10.21 00:00:05
131,4.7079,2024.10.22 02:59:35
133,4.7027,2024.10.23 02:53:58
135,4.6611,2024.10.24 02:53:22
